feature,importance
Packet Length Variance,0.05493115020578277
Packet Length Std,0.054400450260071655
Max Packet Length,0.049602223613209276
Subflow Fwd Bytes,0.04560685872636812
Avg Bwd Segment Size,0.04541959661041688
Average Packet Size,0.041033807723171785
Destination Port,0.04097815899577591
Bwd Packet Length Max,0.03858394519628259
Total Length of Bwd Packets,0.0340946946087792
Subflow Bwd Bytes,0.031070373528437095
Bwd Packet Length Std,0.02977081596746521
Init_Win_bytes_forward,0.028961541964611936
Fwd Packet Length Max,0.028059622630680323
Total Length of Fwd Packets,0.02761142581924838
Packet Length Mean,0.026987646627286144
Bwd Packet Length Mean,0.024400304725304026
Fwd Packet Length Mean,0.023573611125277713
Avg Fwd Segment Size,0.01803072312940658
Init_Win_bytes_backward,0.017661511751691207
Fwd Header Length,0.017255041680750358
Total Fwd Packets,0.016111589296768515
Bwd Header Length,0.015799261846263703
Flow Bytes/s,0.015167192822668462
Fwd Header Length.1,0.014681798020454601
Subflow Fwd Packets,0.013373032099479825
act_data_pkt_fwd,0.012898901825006177
Fwd IAT Max,0.012341102099491874
ACK Flag Count,0.012210500490770753
Bwd Packets/s,0.011393022384530995
Bwd Packet Length Min,0.01125806001692416
Flow IAT Mean,0.011113189395705348
PSH Flag Count,0.010935988552192688
Fwd IAT Std,0.01073773128485961
Flow IAT Std,0.010518015622162565
Idle Mean,0.010397418204811437
Subflow Bwd Packets,0.01017038985913843
min_seg_size_forward,0.010075599925214089
Fwd IAT Mean,0.009926259495536783
Fwd IAT Min,0.009472399343906607
Fwd Packet Length Std,0.00901964130126162
Flow Packets/s,0.0076987157161997714
Total Backward Packets,0.007072613118082388
Flow IAT Max,0.007017978875947282
Flow Duration,0.0068593709808064
Fwd Packets/s,0.006478598034338795
Idle Min,0.006423927520778957
Fwd IAT Total,0.005815053966887172
Flow IAT Min,0.005418835582862597
Idle Max,0.0047995930535393826
Bwd IAT Min,0.003746852082728523
Min Packet Length,0.0033173465217113283
Active Mean,0.002276144898839332
Active Max,0.0021394924925028807
Bwd IAT Std,0.001943100593391063
Bwd IAT Mean,0.0018489649178312759
Fwd Packet Length Min,0.0015703472649980887
URG Flag Count,0.0014353092685751591
FIN Flag Count,0.001386602123536299
Bwd IAT Max,0.0013457703194281064
Bwd IAT Total,0.001275019959413858
Active Min,0.0011526325637407767
Down/Up Ratio,0.0010597835896708398
Active Std,0.0007053316088501621
Idle Std,0.000675826195682544
SYN Flag Count,0.0005285631868665675
Fwd PSH Flags,0.0003461913086006579
Fwd URG Flags,1.6201988746847136e-05
CWE Flag Count,1.1182918919670016e-05
RST Flag Count,5.056935790460428e-08
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
ECE Flag Count,0.0
Bwd PSH Flags,0.0
